City_ID,City,County,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Batagay-Alyta,RU,67.8006,130.4114,57.54,56,58,13.51,broken clouds
145,Paredon,MX,16.0333,-93.8667,81.84,73,85,1.86,overcast clouds
146,Ilulissat,GL,69.2167,-51.1,37.42,87,75,13.8,light rain
147,Broome,US,42.2506,-75.833,58.37,93,0,1.01,clear sky
148,Ancud,CL,-41.8697,-73.8203,44.42,93,61,7.96,broken clouds
149,Dickinson,US,29.4608,-95.0513,85.1,87,20,3.44,few clouds
150,Isla Mujeres,MX,21.2311,-86.731,80.85,84,97,8.59,overcast clouds
151,Makat,KZ,47.6469,53.3463,61.43,61,49,9.51,scattered clouds
152,Chiredzi,ZW,-21.05,31.6667,67.06,71,0,5.66,clear sky
153,Inuvik,CA,68.3499,-133.7218,43.66,84,90,3.44,overcast clouds
154,Norman Wells,CA,65.282,-126.8329,53.64,76,75,11.5,broken clouds
155,Thiruvananthapuram,IN,8.4833,76.9167,82.38,78,40,3.44,haze
156,Sangmelima,CM,2.9333,11.9833,64.71,99,79,2.17,broken clouds
157,Tautira,PF,-17.7333,-149.15,78.82,74,21,13.94,few clouds
158,Kaitangata,NZ,-46.2817,169.8464,45.54,91,100,12.8,overcast clouds
159,Namatanai,PG,-3.6667,152.4333,84.06,69,65,7.14,light rain
160,Provideniya,RU,64.3833,-173.3,41.11,70,75,11.18,broken clouds
161,Fortuna,US,40.5982,-124.1573,70.48,92,1,0.0,clear sky
162,Te Anau,NZ,-45.4167,167.7167,46.06,84,88,5.57,overcast clouds
163,Maneadero,MX,31.7167,-116.5667,70.11,87,16,1.03,few clouds
164,Dicabisagan,PH,17.0818,122.4157,87.03,65,89,6.91,overcast clouds
165,Margate,GB,51.3813,1.3862,62.69,86,15,3.09,few clouds
166,Praya,CV,14.9215,-23.5087,77.54,94,20,2.3,few clouds
167,Vengurla,IN,15.8667,73.6333,76.15,90,100,9.6,moderate rain
168,Gavle,SE,60.6745,17.1417,52.45,86,100,5.61,overcast clouds
169,Tiarei,PF,-17.5333,-149.3333,78.82,74,7,15.73,clear sky
170,Srednekolymsk,RU,67.45,153.6833,38.53,61,100,19.6,overcast clouds
171,Verkhnetulomskiy,RU,68.6073,31.7962,39.33,89,7,1.5,clear sky
172,Pallasovka,RU,50.05,46.8833,53.53,45,100,8.08,overcast clouds
173,Gorontalo,ID,0.5412,123.0595,81.66,77,98,4.23,overcast clouds
174,Bull Savanna,JM,17.8868,-77.5902,75.96,87,17,4.59,few clouds
175,Korla,CN,41.7597,86.1469,85.51,17,0,11.81,clear sky
176,Puri,IN,19.8,85.85,82.92,77,99,22.66,very heavy rain
177,Port Blair,IN,11.6667,92.75,83.88,78,85,12.17,overcast clouds
178,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,75,75,3.44,broken clouds
179,Pisco,PE,-13.7,-76.2167,62.65,77,94,2.3,overcast clouds
180,Villamontes,BO,-21.25,-63.5,79.88,48,60,3.24,broken clouds
181,Sao Filipe,CV,14.8961,-24.4956,78.26,84,58,1.61,broken clouds
182,Soria,ES,41.6667,-2.6667,68.02,47,100,4.45,overcast clouds
183,Nakamura,JP,32.9833,132.9333,79.9,75,99,6.51,overcast clouds
184,Colares,PT,38.7992,-9.4469,70.83,75,99,9.82,overcast clouds
185,Yellowknife,CA,62.456,-114.3525,54.12,94,20,6.91,few clouds
186,Rangia,IN,26.4667,91.6333,78.75,86,100,6.78,overcast clouds
187,San Quintin,MX,30.4833,-115.95,72.34,81,62,4.5,broken clouds
188,Nuuk,GL,64.1835,-51.7216,39.81,93,75,6.91,broken clouds
189,Hervey Bay,AU,-25.2986,152.8535,75.31,52,0,20.87,clear sky
190,Padang,ID,-0.9492,100.3543,84.25,82,81,4.38,broken clouds
191,Megion,RU,61.0296,76.1136,51.82,50,79,9.01,broken clouds
192,Anadyr,RU,64.75,177.4833,41.5,81,40,8.95,scattered clouds
193,Meulaboh,ID,4.1363,96.1285,85.3,66,47,2.64,scattered clouds
194,Ransang,PH,8.9603,117.5828,81.36,84,100,9.62,light rain
195,Egvekinot,RU,66.3167,-179.1667,33.44,64,100,5.53,overcast clouds
196,Qaqortoq,GL,60.7167,-46.0333,41.5,77,90,3.18,overcast clouds
197,Pafos,CY,34.7667,32.4167,75.11,69,1,10.36,clear sky
198,Damphu,BT,27.0721,90.1096,70.2,96,99,1.1,overcast clouds
199,Torbay,CA,47.6666,-52.7314,54.27,93,90,8.05,overcast clouds
200,Avarua,CK,-21.2078,-159.775,73.45,83,20,11.5,few clouds
201,Guerrero Negro,MX,27.9769,-114.0611,72.64,82,61,11.61,broken clouds
202,Tigzirt,DZ,36.8886,4.1198,76.05,50,95,10.31,overcast clouds
203,Marsberg,DE,51.4617,8.8495,54.36,67,100,1.14,overcast clouds
204,Saint-Felicien,CA,48.6501,-72.4491,56.08,94,75,5.75,broken clouds
205,Kattivakkam,IN,13.2167,80.3167,89.69,55,99,18.3,overcast clouds
206,De Aar,ZA,-30.6497,24.0123,43.45,71,59,20.2,broken clouds
207,Skjervoy,NO,70.0311,20.9714,46.4,80,100,4.27,overcast clouds
208,Hambantota,LK,6.1241,81.1185,86.34,79,40,14.97,scattered clouds
209,Ninghai,CN,29.2892,121.4247,82.08,79,74,7.74,broken clouds
210,Karpathos,GR,35.507,27.2132,73.36,83,20,21.85,few clouds
211,Huarmey,PE,-10.0681,-78.1522,62.85,88,98,9.78,overcast clouds
212,Luau,AO,-10.7073,22.2247,67.59,52,3,3.91,clear sky
213,Zunyi,CN,27.6867,106.9072,75.38,65,64,2.68,broken clouds
214,Kasamwa,TZ,-2.85,32.4333,70.38,66,33,2.98,scattered clouds
215,Tucuman,AR,-26.8241,-65.2226,68.0,73,75,5.75,broken clouds
216,Luena,AO,-11.7833,19.9167,59.52,48,5,3.13,clear sky
217,Umm Kaddadah,SD,13.6017,26.6876,79.57,56,100,4.56,overcast clouds
218,Victoria,HK,22.2855,114.1577,91.96,76,34,1.99,scattered clouds
219,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,88,2,6.91,clear sky
220,Aswan,EG,24.0934,32.907,85.96,31,6,14.67,clear sky
221,Zeya,RU,53.75,127.2667,71.49,55,100,10.58,overcast clouds
222,Lavrentiya,RU,65.5833,-171.0,39.54,87,99,3.49,overcast clouds
223,Calvinia,ZA,-31.4707,19.776,37.96,75,0,8.48,clear sky
224,Grindavik,IS,63.8424,-22.4338,48.67,81,90,6.91,light intensity drizzle
225,Satao,PT,40.7418,-7.7329,63.03,83,99,1.5,overcast clouds
226,Cururupu,BR,-1.8283,-44.8683,74.17,91,29,3.44,scattered clouds
227,Axim,GH,4.8699,-2.2405,74.53,94,73,6.93,broken clouds
228,Poum,NC,-20.2333,164.0167,72.41,72,22,25.52,few clouds
229,Bulgan,MN,48.8125,103.5347,53.15,64,82,3.94,broken clouds
230,Arkhara,RU,49.4212,130.0842,69.04,59,100,11.01,light rain
231,Assiniboia,CA,49.6334,-105.9845,55.31,76,75,6.91,broken clouds
232,Olafsvik,IS,64.8945,-23.7142,49.78,79,100,9.42,overcast clouds
233,Cherskiy,RU,68.75,161.3,33.91,88,100,14.88,light rain
234,Pandamatenga,BW,-18.5278,25.627,65.21,37,0,7.16,clear sky
235,Xiongyue,CN,40.1774,122.1228,71.89,67,35,11.03,light rain
236,Ajdabiya,LY,30.7554,20.2263,74.19,65,0,7.45,clear sky
237,Pevek,RU,69.7008,170.3133,31.1,93,100,12.48,light snow
238,Dikson,RU,73.5069,80.5464,44.06,79,50,21.32,scattered clouds
239,Quesnel,CA,52.9999,-122.5029,57.7,82,90,3.44,light rain
240,Nikolskoye,RU,59.7035,30.7861,51.03,93,89,5.79,overcast clouds
241,Puerto Ayora,EC,-0.7393,-90.3518,68.36,82,99,8.81,overcast clouds
242,Half Moon Bay,US,37.4636,-122.4286,81.41,65,1,0.0,clear sky
243,Oyem,GA,1.5995,11.5793,66.52,99,95,1.43,overcast clouds
244,Warri,NG,5.5167,5.75,75.16,93,99,0.94,light rain
245,Faya,SA,18.3851,42.4509,66.31,25,41,9.33,scattered clouds
